TxHash,To,From,TokenAmount,UsdAmount
0x4eb291073cf79129a0489ceb98889fe86212d586395ddbcd287c818139a687c1,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,"1.35508137","$52483.60"
0x4eb291073cf79129a0489ceb98889fe86212d586395ddbcd287c818139a687c1,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0xceff51756c56ceffca006cd410b03ffc46dd3a58,"22.744148490290480502","$59640.12"
0x4eb291073cf79129a0489ceb98889fe86212d586395ddbcd287c818139a687c1,0xceff51756c56ceffca006cd410b03ffc46dd3a58,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,"1.51894135","$58830.06"
0x4eb291073cf79129a0489ceb98889fe86212d586395ddbcd287c818139a687c1,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0x7224d1965f85572750a7bfb6845759de52a8b76a,"7.61045467","$294760.21"
0x9e3ba6e8b6d7a38cc0daa94f3eae1d9f0cdd41a11bc96e36d9d3c66589408aed,0x7224d1965f85572750a7bfb6845759de52a8b76a,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,"1,709.3437","$21418.64"
0x9e3ba6e8b6d7a38cc0daa94f3eae1d9f0cdd41a11bc96e36d9d3c66589408aed,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0x110492b31c59716ac47337e616804e3e3adc0b4a,"1,709.3437","$21418.64"
0x9e3ba6e8b6d7a38cc0daa94f3eae1d9f0cdd41a11bc96e36d9d3c66589408aed,0x110492b31c59716ac47337e616804e3e3adc0b4a,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,"0.5412888","$20964.63"
0x9e3ba6e8b6d7a38cc0daa94f3eae1d9f0cdd41a11bc96e36d9d3c66589408aed,0x99ac8ca7087fa4a2a1fb6357269965a2014abc35,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,"20,547.841593","$20554.21"
0x9e3ba6e8b6d7a38cc0daa94f3eae1d9f0cdd41a11bc96e36d9d3c66589408aed,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0x99ac8ca7087fa4a2a1fb6357269965a2014abc35,"0.5412888","$20964.63"
0x9e3ba6e8b6d7a38cc0daa94f3eae1d9f0cdd41a11bc96e36d9d3c66589408aed,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0x7224d1965f85572750a7bfb6845759de52a8b76a,"20,547.841593","$20554.21"
0xdfda3cf06fe6590f488298b77e6fab71988732edeff708dace4030a6f1208319,0x7224d1965f85572750a7bfb6845759de52a8b76a,0xe6f19dab7d43317344282f803f8e8d240708174a,"9,153.0652","$2535.80"
0xdfda3cf06fe6590f488298b77e6fab71988732edeff708dace4030a6f1208319,0xe6f19dab7d43317344282f803f8e8d240708174a,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,"1.06089778503255101","$2781.91"
0xdfda3cf06fe6590f488298b77e6fab71988732edeff708dace4030a6f1208319,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x7224d1965f85572750a7bfb6845759de52a8b76a,"2,698.700358","$2699.54"
0x9f15ca21efb7996f461a42413adef18ec192277856b9e70654960d2315304c9a,0x7224d1965f85572750a7bfb6845759de52a8b76a,0x56feaccb7f750b997b36a68625c7c596f0b41a58,"21.0351","$1595.95"
0x9f15ca21efb7996f461a42413adef18ec192277856b9e70654960d2315304c9a,0x56feaccb7f750b997b36a68625c7c596f0b41a58,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,"0.65247215119313259","$1710.92"
0x9f15ca21efb7996f461a42413adef18ec192277856b9e70654960d2315304c9a,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x7224d1965f85572750a7bfb6845759de52a8b76a,"1,655.304352","$1655.82"
0x46c2b3fb04b5c93d97a05bbeac4ad1e22f29a5a8af8ade33901bf269563955d0,0x7224d1965f85572750a7bfb6845759de52a8b76a,0x85eee30c52b0b379b046fb0f85f4f3dc3009afec,"0",""
